id_transaccion,nombre,ciudad,direccion,correo,telefono,ip,monto,modalidad_pago,estado_pago,timestamp
20250714-480,Indira Juana Guzmán Carrero,Nueva Kiribati,"Avenida Ruiz 463 920, San Uriel de la Montaña, COAH 30001-0689",sde-jesus@example.net,1-173-430-1794,153.200.124.148,3689.39,completo,exitoso,2025-07-14T16:53:01.911092
20250714-996,Octavio Carbajal Saavedra,San Concepción los bajos,"Callejón Hidalgo 415 Interior 452, San Clara los bajos, DGO 55275",segoviaraquel@example.net,129-696-9302,198.162.204.184,2972.19,fraccionado,exitoso,2025-07-14T16:53:01.911600
20250714-446,Ing. Lourdes Páez,San Concepción de la Montaña,"Calzada Myanmar 287 Edif. 188 , Depto. 770, San Francisca los bajos, GRO 37225",veronica35@example.net,446.946.6231,46.220.213.51,3545.76,fraccionado,exitoso,2025-07-14T16:53:01.912193
20250714-576,Noelia Patricio Bernal Castro,San Emiliano los altos,"Peatonal Tlaxcala 157 850, San Óliver los bajos, BC 07205",caridadcovarrubias@example.com,352.395.2291x579,21.177.189.135,1220.36,completo,exitoso,2025-07-14T16:53:01.912643
20250714-758,Ing. Ángela Cano,San Aurelio los bajos,"Retorno Norte Alvarez 751 Interior 480, San Magdalena los bajos, PUE 71968",amadorcontreras@example.com,1-500-273-8332,46.212.81.255,3123.04,completo,fallido,2025-07-14T16:53:01.913048
20250714-679,Fidel Rodolfo Puente,Vieja Dominicana,"Pasaje Aguascalientes 468 Edif. 109 , Depto. 150, Vieja Suriname, TAB 34332",rcornejo@example.org,100-345-4092,80.63.190.181,164.45,fraccionado,fallido,2025-07-14T16:53:01.913434
20250714-809,Samuel Abigail Angulo,Nueva Sri Lanka,"Diagonal Zambia 870 Edif. 444 , Depto. 622, San Linda de la Montaña, CHIH 32671-8762",horaciomateo@example.org,(253)178-1170x81026,183.189.227.5,2668.9,fraccionado,fallido,2025-07-14T16:53:01.913824
20250714-758,Miriam Carvajal,San Esteban los bajos,"Peatonal Ghana 458 Edif. 750 , Depto. 294, Nueva Mauricio, TAB 58421-4378",garciaeloy@example.org,348.878.8490x951,160.251.144.159,4739.52,fraccionado,exitoso,2025-07-14T16:53:01.914198
20250714-137,Sr(a). Wilfrido Garza,Nueva Italia,"Boulevard Sur Orosco 422 636, San Ángela los altos, COAH 25138-1546",auroraurias@example.org,441.214.2652x61199,139.188.71.112,2262.99,fraccionado,fallido,2025-07-14T16:53:01.914586
20250714-587,Ariadna Darío Vanegas,San Amelia de la Montaña,"Privada Sur Farías 133 Interior 053, Vieja Bangladesh, QRO 47094",rpalacios@example.com,(359)119-1224x449,155.4.106.80,1688.16,fraccionado,fallido,2025-07-14T16:53:01.914952
20250714-635,Micaela Segura Ceja,Vieja Cuba,"Prolongación Aguascalientes 256 Edif. 021 , Depto. 642, San Adán de la Montaña, MOR 68216-2357",mayorgavictor@example.org,001-112-2576x0181,18.123.56.57,2152.84,completo,exitoso,2025-07-14T16:53:01.915336
20250714-146,Claudio Timoteo Moreno,Vieja Croacia,"Periférico Colón 944 612, San Judith de la Montaña, MEX 19824-3800",ahernandez@example.net,(966)922-2714x7919,23.253.85.52,1299.03,fraccionado,exitoso,2025-07-14T16:53:01.915705
20250714-399,Ignacio Fabiola Salazar,Vieja Niger,"Retorno Sinaloa 182 Interior 046, San Margarita de la Montaña, HGO 91566-6108",rosadoabril@example.org,228-990-3213x77977,137.177.64.45,2611.27,completo,exitoso,2025-07-14T16:53:01.916075
20250714-489,Ing. Blanca Sisneros,Nueva Camerún,"Andador Norte Escamilla 960 279, Nueva Nicaragua, MEX 17913",conchitaamador@example.org,(149)976-1277x39531,171.250.35.37,868.2,fraccionado,exitoso,2025-07-14T16:53:01.916450
20250714-362,María Luisa Rojo,San Víctor de la Montaña,"Cerrada Perú 119 Interior 108, San Vanesa de la Montaña, COAH 06943",fidelmorales@example.com,913-278-6165x026,116.231.37.223,2177.56,completo,fallido,2025-07-14T16:53:01.916805
20250714-420,Fidel Mejía,San Julio los bajos,"Pasaje Qatar 746 Interior 127, San María Elena de la Montaña, BC 42510",estela81@example.org,032.238.1072x60004,196.249.71.247,4960.38,completo,exitoso,2025-07-14T16:53:01.917168
20250714-860,Jesús Vélez,San Santiago de la Montaña,"Diagonal Noruega 151 Interior 873, San Darío los altos, VER 33780",uacosta@example.com,01623497419,30.66.137.52,1397.31,fraccionado,exitoso,2025-07-14T16:53:01.917523
20250714-785,Catalina Armas,Vieja Botswana,"Circuito Colima 997 Edif. 176 , Depto. 421, Nueva Somalia, MEX 74833-9993",ignaciomejia@example.org,1-756-999-2424x021,26.165.108.158,1335.03,fraccionado,exitoso,2025-07-14T16:53:01.917885
20250714-354,Tania Durán,San Armando los altos,"Ampliación República Dominicana 487 395, San Wilfrido los bajos, COAH 74054",yolanda86@example.org,388-414-9769,90.239.60.24,1493.86,completo,fallido,2025-07-14T16:53:01.918268
20250714-138,Esteban Darío Portillo,San Eloisa los altos,"Calle Norte Bermúdez 107 329, Vieja Marruecos, JAL 49565",arreoladario@example.com,370-373-5978x71336,172.228.116.209,2902.74,fraccionado,exitoso,2025-07-14T16:53:01.918646
20250714-998,Mtro. Carolina Arce,San Pilar los altos,"Privada Hidalgo 194 Interior 111, San Fernando de la Montaña, TAB 14608-8443",ysalazar@example.org,(723)121-6647x4537,79.78.204.254,2149.1,fraccionado,fallido,2025-07-14T16:53:01.919009
20250714-371,Jerónimo Barraza,San Luz los bajos,"Circuito Galindo 946 Edif. 671 , Depto. 694, Vieja Somalia, BCS 59939-7695",oaguayo@example.net,(322)229-2946x6155,31.52.226.55,3802.53,completo,exitoso,2025-07-14T16:53:01.919399
20250714-941,Irene Porras,San Hermelinda los bajos,"Corredor Sur Montes 372 505, Nueva Ucrania, NL 63681-6998",esperanza88@example.org,(725)961-8926x362,119.166.174.170,3835.64,completo,fallido,2025-07-14T16:53:01.919759
20250714-812,Lic. Asunción Fuentes,Vieja Botswana,"Corredor de la Rosa 128 Edif. 124 , Depto. 271, Vieja Bahrein, QRO 73904-8614",scantu@example.com,(340)009-6572x3644,69.22.109.1,1783.29,fraccionado,exitoso,2025-07-14T16:53:01.920125
20250714-871,Carolina Rodríquez de la Crúz,Nueva Paraguay,"Calle Mascareñas 888 Interior 623, San Bernardo de la Montaña, DF 18884-8841",grijalvalaura@example.org,363-679-4588x012,192.131.250.214,4619.47,fraccionado,fallido,2025-07-14T16:53:01.920496
20250714-428,José María Guzmán,Vieja República Dominicana,"Circunvalación Vanuatu 028 901, San Esparta los altos, Q. ROO 69265",miramontesrolando@example.org,003.650.0757x1332,198.214.97.89,821.13,fraccionado,exitoso,2025-07-14T16:53:01.920850
20250714-094,Rosa Gil Peralta,San Fabiola de la Montaña,"Avenida Jalisco 890 Interior 144, San Diego los bajos, Q. ROO 11186-7109",ynunez@example.org,242-404-8008,35.42.230.145,3560.54,fraccionado,exitoso,2025-07-14T16:53:01.921206
20250714-831,Mtro. Ariadna de la Torre,Nueva Ucrania,"Calle Olivera 833 Edif. 275 , Depto. 378, Vieja Brunei Darussalam, MOR 39459-6208",jnino@example.net,+42(5)4549057292,69.254.224.19,2983.64,fraccionado,fallido,2025-07-14T16:53:01.921576
20250714-373,Ricardo Aida Carreón Espinoza,Nueva Suecia,"Avenida China 716 402, Vieja Filipinas, HGO 36136-5289",olivarezveronica@example.com,705.344.9442x0556,191.99.138.26,2855.22,fraccionado,fallido,2025-07-14T16:53:01.921946
20250714-406,Sr(a). Carolina Ávila,San Eugenio los altos,"Corredor Garica 559 729, Nueva Madagascar, COAH 68670",poncesamuel@example.com,00903396044,46.140.4.101,2748.57,fraccionado,fallido,2025-07-14T16:53:01.922304
20250714-480,Lic. Omar Velázquez,Nueva Santa Lucía,"Privada Sur Piña 390 Interior 395, San Pablo de la Montaña, COL 96730-6837",galvezcarlos@example.net,1-006-742-4342x5836,4.187.52.106,4208.15,fraccionado,fallido,2025-07-14T16:53:01.922685
20250714-460,Teresa Esparta Valladares,Nueva Países Bajos,"Pasaje Rivas 758 Edif. 653 , Depto. 276, San Ivonne de la Montaña, GRO 45045",cynthia12@example.net,372-893-0150x949,191.62.172.51,664.27,fraccionado,fallido,2025-07-14T16:53:01.923046
